sa2_code,sa2_name,earners,median_age,median_income,mean_income
101021007,Braidwood,2426,50,44246,61745
101021008,Karabar,5128,42,62946,67345
101021009,Queanbeyan,6778,39,61724,67276
101021010,Queanbeyan - East,3360,40,64010,71770
101021011,Queanbeyan Region,13502,44,74042,85303
101021012,Queanbeyan West - Jerrabomberra,8381,44,75987,88257
101031013,Bombala,1404,49,46495,54848
101031014,Cooma,3776,46,48615,56939
101031015,Cooma Region,2056,50,46044,54552
101031016,Jindabyne - Berridale,4609,44,45128,56759
101041017,Batemans Bay,4182,50,38705,45174
101041018,Batemans Bay - South,4699,51,40626,50742
101041019,Bega - Tathra,4971,48,46009,53560
101041020,Bega-Eden Hinterland,5466,51,36508,44504
101041021,Broulee - Tomakin,2104,52,42679,54292
101041022,Deua - Wadbilliga,13,51,46774,65942
101041023,Eden,1729,50,39972,46640
101041024,Eurobodalla Hinterland,2031,52,37334,46406
101041025,Merimbula - Tura Beach,6602,52,41436,50158
101041026,Moruya - Tuross Head,4634,53,39491,46447
101041027,Narooma - Bermagui,4996,56,32606,42850
101051539,Goulburn,12668,42,52026,59345
101051540,Goulburn Region,7583,49,45692,54741
101061541,Yass,3995,45,56336,62684
101061542,Yass Region,7976,47,61165,75493
101061543,Young,5610,44,44954,52069
101061544,Young Region,3942,49,43377,48277
102011028,Avoca Beach - Copacabana,4788,47,52450,71977
102011029,Box Head - MacMasters Beach,6647,49,48724,64621
102011030,Calga - Kulnura,2919,49,46228,61545
102011031,Erina - Green Point,7962,48,48292,67162
102011032,Gosford - Springfield,11439,42,51999,62478
102011033,Kariong,3822,42,54900,65283
102011034,Kincumber - Picketts Valley,4004,46,50106,60727
102011035,Narara,4146,43,53262,63325
102011036,Niagara Park - Lisarow,4898,44,52812,63135
102011037,Point Clare - Koolewong,3713,47,51099,63249
102011038,Saratoga - Davistown,4181,47,49903,63587
102011039,Terrigal - North Avoca,9186,46,53652,75387
102011040,Umina - Booker Bay - Patonga,12826,46,47126,58831
102011041,Wamberal - Forresters Beach,6419,46,53015,73292
102011042,Woy Woy - Blackwall,7291,46,48361,57475
102011043,Wyoming,5950,43,49788,55957
102021044,Bateau Bay - Killarney Vale,11699,42,49047,56847
102021045,Blue Haven - San Remo,5668,38,49191,52986
102021046,Budgewoi - Buff Point - Halekulani,4670,44,48251,54742
102021047,Chittaway Bay - Tumbi Umbi,9073,44,51007,59255
102021048,Gorokan - Kanwal - Charmhaven,10541,42,47230,51983
102021049,Jilliby - Yarramalong,2169,48,51930,68260
102021050,Lake Munmorah - Mannering Park,5028,45,46693,53385
102021051,Ourimbah - Fountaindale,3056,44,52698,66144
102021052,Summerland Point - Gwandalan,3349,45,47821,55105
102021053,The Entrance,10758,45,51621,58604
102021054,Toukley - Norah Head,4737,45,46551,54458
102021055,Tuggerah - Kangy Angy,3107,42,51002,59015
102021056,Warnervale - Wadalba,9890,40,53867,62113
102021057,Wyong,4306,43,46800,53462
103011058,Bathurst,13221,42,53172,61421
103011059,Bathurst - East,6382,42,55425,62864
103011060,Bathurst Region,4134,49,49024,56935
103011061,Oberon,2588,49,48607,53641
103021062,Condobolin,3430,45,35385,31102
103021063,Cowra,4840,47,43527,48719
103021064,Cowra Region,2832,48,38504,44150
103021065,Forbes,5407,45,45069,49075
103021066,Grenfell,1815,51,32806,34945
103021067,Parkes (NSW),5776,43,49221,56736
103021068,Parkes Region,1707,47,30502,29618
103021069,West Wyalong,3179,46,38132,43037
103031070,Lithgow,5712,45,48893,60683
103031071,Lithgow Region,4404,47,47767,58530
103031072,Mudgee,6848,42,52361,67743
103031073,Mudgee Region - East,1471,50,36542,46370
103031074,Mudgee Region - West,5603,47,42639,53051
103031075,Wollangambe - Wollemi,np,np,np,np
103041076,Blayney,4070,47,49674,59097
103041077,Orange,9940,43,51740,62571
103041078,Orange - North,12655,41,58108,68813
103041079,Orange Region,6695,47,49855,62492
104011080,Grafton,8993,45,44321,51271
104011081,Grafton Region,8118,49,39879,46028
104011082,Maclean - Yamba - Iluka,8706,51,38171,47737
104021083,Bellingen,3388,49,37911,49860
104021084,Coffs Harbour - North,9753,44,43503,52207
104021085,Coffs Harbour - South,5649,44,44583,53801
104021086,Coramba - Nana Glen - Bucca,2380,48,44243,51971
104021087,Dorrigo,1679,53,30583,38801
104021088,Korora - Emerald Beach,6306,47,47195,63366
104021089,Sawtell - Boambee,11088,46,44896,53556
104021090,Urunga,2555,51,41310,49075
104021091,Woolgoolga - Arrawarra,8231,42,37645,46830
105011092,Bourke - Brewarrina,1754,42,52760,57130
105011093,Cobar,2222,41,56408,65267
105011094,Coonamble,1891,46,39023,34215
105011095,Nyngan - Warren,2671,47,41997,40566
105011096,Walgett - Lightning Ridge,2528,45,36946,23484
105021097,Broken Hill,8378,44,54757,62469
105021098,Far West,887,47,43542,52422
105031099,Coonabarabran,3657,49,34862,37886
105031100,Dubbo - East,5921,41,53348,61051
105031101,Dubbo - South,10786,39,55019,61503
105031102,Dubbo - West,5315,39,53272,61942
105031103,Dubbo Region,3481,46,47508,50602
105031104,Gilgandra,2181,47,34469,34309
105031105,Narromine,3436,46,42093,43401
105031106,Wellington,3924,47,41405,44076
106011107,Branxton - Greta - Pokolbin,7013,41,56909,70593
106011108,Cessnock,10103,40,48922,58268
106011109,Cessnock Region,4810,45,49479,61969
106011110,Dungog,5252,48,46194,56636
106011111,Kurri Kurri - Abermain,9731,39,51927,58066
106011112,Singleton,9251,41,58905,76164
106011113,Singleton Region,2979,46,52543,67043
106021114,Maitland,4354,38,55815,65189
106021115,Maitland - East,16049,42,54090,64212
106021116,Maitland - North,5098,44,58066,74575
106021117,Maitland - West,12882,39,54550,64618
106021118,Thornton - Millers Forest,7972,39,59345,66454
106031119,Anna Bay,3445,48,42671,55628
106031120,Lemon Tree Passage - Tanilba Bay,3228,48,43612,50475
106031121,Nelson Bay Peninsula,12304,51,40144,55255
106031122,Raymond Terrace,6968,42,48955,53269
106031123,Seaham - Woodville,3539,47,53583,73449
106031124,Tea Gardens - Hawks Nest,2823,60,30886,45316
106031125,Williamtown - Medowie - Karuah,8057,44,52515,62084
106041126,Muswellbrook,6383,40,57513,72089
106041127,Muswellbrook Region,2217,45,53140,66109
106041128,Scone,3589,42,52207,94009
106041129,Scone Region,4355,44,46204,55546
107011131,Dapto - Avondale,12847,43,50747,57999
107011132,Horsley - Kembla Grange,6326,40,58863,67645
107011133,Port Kembla Industrial,np,np,np,np
107011134,Unanderra - Mount Kembla,8803,44,55273,67887
107011545,Berkeley - Lake Heights - Cringila,6524,40,48006,54560
107011546,Port Kembla - Warrawong,4400,41,47354,55682
