FID,state,division_id,division_name,polling_place_id,polling_place_type_id,polling_place_name,premises_name,premises_address_1,premises_address_2,premises_address_3,premises_suburb,premises_state_abbreviation,premises_post_code,latitude,longitude,the_geom
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3127,NSW,104,Barton,33595,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3126,NSW,105,Bennelong,33596,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3125,NSW,107,Blaxland,33600,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3124,NSW,109,Calare,33603,2,Special Hospital Team 1,Multiple sites,,,,ORANGE,NSW,2800,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3123,NSW,113,Cowper,33716,2,Special Hospital Team 2,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3122,NSW,121,Grayndler,33623,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3121,NSW,126,Hunter,33627,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3120,NSW,127,Kingsford Smith,33629,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-311f,NSW,249,Paterson,33628,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-311e,NSW,144,Reid,33638,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-311d,NSW,146,Robertson,13755,2,Special Hospital Team 1,Multiple sites,,,,,NSW,2250,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-311c,NSW,149,Sydney,33642,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-311b,NSW,251,Watson,33601,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,,
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-30e1,NSW,103,Banks,58,1,Oatley,Oatley Public School,51 Letitia St,,,OATLEY,NSW,2223,-33.9847,151.081,POINT (-33.9847 151.081)
