sa2_code,sa2_name,0-4_people,5-9_people,10-14_people,15-19_people,20-24_people,25-29_people,30-34_people,35-39_people,40-44_people,45-49_people,50-54_people,55-59_people,60-64_people,65-69_people,70-74_people,75-79_people,80-84_people,85-and-over_people,total_people
102011028,Avoca Beach - Copacabana,424,522,623,552,386,222,306,416,544,572,602,570,520,464,369,226,142,70,7530
102011029,Box Head - MacMasters Beach,511,666,702,592,461,347,420,535,645,749,749,794,895,863,925,603,331,264,11052
102011030,Calga - Kulnura,200,225,258,278,274,227,214,286,250,325,436,422,397,327,264,190,100,75,4748
102011031,Erina - Green Point,683,804,880,838,661,502,587,757,760,859,882,901,930,917,1065,976,773,1028,14803
102011032,Gosford - Springfield,1164,1044,1084,1072,1499,1864,1750,1520,1324,1330,1241,1377,1285,1166,949,664,476,537,21346
102011033,Kariong,433,510,512,525,407,411,356,441,501,491,481,435,365,241,157,97,90,65,6518
102011034,Kincumber - Picketts Valley,430,434,491,423,342,313,419,394,397,419,415,422,459,441,468,455,383,523,7628
102011035,Narara,472,518,535,441,373,420,457,522,491,505,474,461,457,367,322,201,95,80,7191
102011036,Niagara Park - Lisarow,461,589,656,592,463,400,494,514,549,581,567,572,498,392,347,212,161,189,8237
102011037,Point Clare - Koolewong,356,411,389,355,300,251,358,423,394,493,427,480,443,346,367,300,241,241,6575
102011038,Saratoga - Davistown,371,468,485,429,331,322,365,406,431,473,484,491,504,435,413,329,225,217,7179
102011039,Terrigal - North Avoca,765,957,1029,950,786,753,733,909,953,1037,1031,965,1018,943,874,611,335,241,14890
102011040,Umina - Booker Bay - Patonga,1381,1434,1321,1144,1154,1051,1210,1511,1513,1540,1569,1688,1749,1675,1786,1362,891,874,24853
102011041,Wamberal - Forresters Beach,596,737,847,738,546,456,506,683,691,766,731,655,664,604,575,395,282,219,10691
102011042,Woy Woy - Blackwall,750,763,712,684,693,726,841,806,862,884,934,973,1026,936,920,767,528,597,14402
102011043,Wyoming,695,714,770,662,593,640,802,744,686,685,604,641,619,584,635,522,359,502,11457
102021044,Bateau Bay - Killarney Vale,1477,1628,1507,1249,1126,1268,1517,1511,1350,1360,1269,1319,1398,1354,1221,886,657,889,22986
102021045,Blue Haven - San Remo,880,869,867,755,819,900,834,686,614,716,773,638,579,430,393,298,196,142,11389
102021046,Budgewoi - Buff Point - Halekulani,550,587,540,532,474,591,582,524,515,558,580,667,737,627,631,469,365,259,9788
102021047,Chittaway Bay - Tumbi Umbi,1025,1015,1114,966,936,974,1014,1023,902,985,969,1038,1039,860,794,577,422,419,16072
